genre,release,starring,title
喜剧,2021-01-22,包贝尔／克拉拉／张一鸣,大红包
剧情／家庭,2020-12-31,易烊千玺／刘浩存／朱媛媛,送你一朵小红花
奇幻／爱情／剧情,2020-12-25,赵又廷／邓伦／王子文,晴雅集
剧情／家庭,2021-01-29,王吉祥／大鹏／刘陆,吉祥如意
动画／喜剧／奇幻,2021-01-15,成龙／牛骏峰／薇薇安,许愿神龙
动画／喜剧／冒险,2020-12-25,杰米·福克斯／蒂娜·菲／菲利西亚·拉斯海德,心灵奇旅
喜剧,2020-12-31,常远／李沁／沈腾,温暖的抱抱
动画,2020-10-16,花江夏树／樱井孝宏／鬼头明里,鬼灭之刃 剧场版 无限列车篇
纪录片,2021-01-22,田定远／孟宪明／杨莉,武汉日夜
剧情／喜剧,2020-10-01,葛优／黄渤／范伟,我和我的家乡
爱情／青春／奇幻,2020-12-04,章若楠／孙晨竣／王彦霖,如果声音不记得
动作／犯罪,2020-12-24,刘德华／刘青云／倪妮,拆弹专家2
犯罪／悬疑／科幻,2021-01-15,张震／张钧甯／孙安可,缉魂
运动,,郑恺／李昀锐／李晨,
爱情／青春,,林辰涵／曹峻祥／翁虹,
剧情／灾难／动作,2020-12-18,彭于晏／王彦霖／辛芷蕾,紧急救援
动画／奇幻／冒险,2020-12-31,奈良柚莉爱／土井洋辉／山口智子,崖上的波妞
爱情／剧情／动作,2021-01-15,昆凌／曹佑宁／周杰伦,叱咤风云
喜剧／动作,2020-12-11,彭昱畅／乔杉／卜冠今,沐浴之王
剧情,2021-01-22,彭杏英／薛立贤／高翰文,小伟
动画／奇幻／剧情,2021-01-29,小林星兰／水树奈奈／松田飒水,
喜剧／动作／悬疑,2018-02-16,王宝强／刘昊然／肖央,唐人街探案2
喜剧／动画／冒险,2020-11-27,艾玛·斯通／尼古拉斯·凯奇／瑞安·雷诺兹,疯狂原始人2
剧情／爱情,2020-12-24,杨颖／李鸿其／黄柏钧,明天你是否依然爱我
恐怖,2020,张嘉年／张达明／李丽珍,
剧情／运动／儿童,2021-01-15,朱英瑞／赖宣治／李荣欢,
动画／奇幻／冒险,2021-01-08,郭盛／苏俣／方宇,海底小纵队：火焰之环
剧情,2020-11-20,杜奕衡／朱梓玥／王力可,
动作／动画／惊悚／奇幻,2019-03-29,大塚芳忠／梶裕贵／加隈亚衣,鬼灭之刃 兄妹的羁绊
剧情／动画／奇幻,2020-08-15,杉山纪彰／下屋则子／植田佳奈,命运之夜——天之杯3：春之歌
